SCH Number,Lead Agency Name,Lead Agency Title,Lead Agency Acronym,Document Title,Document Type,Received,Posted,Document Description,Document Portal URL,Project Title,Contact Full Name,Contact Authority,Contact Job Title,Contact Email Address,Contact Address  1,Contact Address  2,Contact City,Contact State,Contact Zip Code,Contact Phone Number,Location Coordinates,Cities,Counties,County Clerks,Location Cross Streets,Location Zip Code,Location Total Acres,Location Parcel Number,Location State Highways,Location Waterways,Location Airports,NOC Has Non Late Comment,NOC State Review Start Date,NOC State Review End Date,NOC Development Type,NOC Local Action,NOC Project Issues,NOC Public Review Start Date,NOC Public Review End Date,NOE Exempt Status,NOE Exempt Citation,NOE Reasons for Exemption,NOD Agency,NOD Approved By Lead Agency,NOD Approved Date,NOD Significant Environmental Impact,NOD Environmental Impact Report Prepared,NOD Negative Declaration Prepared,NOD Other Document Type,NOD Mitigation Measures,NOD Mitigation Reporting Or Monitoring Plan,NOD Statement Of Overriding Considerations Adopted,NOD Findings Made Pursuant,NOD Final EIR Available Location
2023100285,"Lancaster, City of",City of Lancaster,,"GPA 17-007, ZC 17-006, SPR 17-003",NOD,12/20/2023,12/20/2023,"The proposed project consists of the construction and operation of a 630,000 square foot electric school bus manufacturing facility on approximately 30 acres (SPR No. 17-003) of a 160 acre site. The facility would include 570,000 square feet of manufacturing space and 60,000 square feet of office space. The office space would be divided between the ground floor and a mezzanine level. Prep and paint booths would also be included as part of the manufacturing process. At full production levels, it is estimated that the facility would produce approximately 4,000 buses per year. A total of 138 bus parking spaces (for completed buses) would be provided on the west side of the building while employee parking would be provided along the northern and eastern portions of the project site. It is anticipated that the proposed project would employee 650 individuals; 100 office staff and 550 manufacturing staff.
A total of three drainage basins would be provided along the eastern portion of the project site between the driveway and the employee parking area. The entire perimeter would be landscaped and landscaping would be placed throughout the parking areas. Access to the project site would be from two driveways from Avenue H.
As part of the proposed project, a General Plan Amendment (GPA No. 17-007) and Zone Change (ZC No. 
17-006) have been requested for the entire 160 acres. The General Plan Amendment would change the General Plan designation from NU to LI and the Zone Change would change the subject property’s zoning from RR-2.5 to LI.
",https://ceqanet.opr.ca.gov/2023100285/2,SPR 17-03 / GPA 17-007 / ZC 17-006,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,Los Angeles,"Avenue H, 50th St W, 55th ST W",93536,160,"3269-011-015, 3269-011-007",N/A,N/A,General William J. Fox Airfield,,,,,,,,,,,,City of Lancaster,Yes,12/12/2023,No,No,Yes,,Yes,Yes,No,Yes,"www.cityoflancasterca.org; 44933  Fern Avenue, Lancaster, CA 93534"
2023100288,"Lancaster, City of",City of Lancaster,,"GPA 23-001, ZC 23-001, TTM 23-003 (84221), SPR 23-009",NOD,12/20/2023,12/20/2023,"The applicant (Maisons Sierra Phase I, LP) proposes to construct and operate a 2-phase, 100% affordable, private, gated housing development. All units within the development would be rental units. Phase I consists of a 196-unit development. Each lot within the project would contain a primary residence and an accessory dwelling unit with off street parking.  Additionally, open space/recreational facilities including a pool would be provided throughout the community, an additional parking facility would be provided for the adjacent Mariposa Park, and a drainage basin would be provided at the northwest corner of the development. Access to the development would be from two driveways along Sierra Highway. Phase II would be developed after Phase I and includes up to 303 affordable units for seniors with similar amenities as Phase I.
As part of the proposed project, tentative tract map, general plan amendment and zone change have also been requested. The tentative tract map would subdivide the subject property into the necessary number of lots to accommodate the units in Phase I and Phase II along with the open and common space lots. The general plan designation and zoning on the subject property is currently a mixed of Moderate Density Residential and Park. The General Plan Amendment and Zone Change would change these designations so that they entire site is designated and zoned Moderate Density Residential (MDR)
",https://ceqanet.opr.ca.gov/2023100288/2,SPR 23-009 / TTM 23-003/GPA 23-001/ ZC 23-001,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,Los Angeles,"Sierra Highway, Avenue H",93534,45,3135-001-903 through 3135-001-918,14,Amargosa Creek ,N/A,,,,,,,,,,,,City of Lancaster,Yes,12/12/2023,No,No,Yes,,Yes,Yes,No,Yes,"www.cityoflancasterca.org; 44933 Fern Avenue, Lancaster, CA 93534"
2023110234,"Lancaster, City of",City of Lancaster,,Tentative Tract Map No. 66680,NOD,12/20/2023,12/20/2023,"The project consists of the subdivision of approximately 72 acres into 219 lots: 215 residential lots and 4 drainage basin lots in the R-7,000, R-10,000 and R-15,000 zones. The lots within the subdivision would range in size from 7,008 square feet to 17,239 square feet. Access to the subdivision would be primarily from Avenue K-8 and 55th Street West and the streets would be public. A block wall would surround the subdivision with sidewalks and landscaping along Avenue K-8 and 55th Street West.",https://ceqanet.opr.ca.gov/2023110234/2,Tentative Tract Map No. 66680,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,Los Angeles,"60th Street West, Avenue K-8, Avenue L",93536,72,"3204-006-025, 026, 027, 031, 032, 033, 067, 071, 075, 081, 085, 086, 088",N/A,N/A,N/A,,,,,,,,,,,,City of Lancaster,Yes,12/11/2023,No,No,Yes,,Yes,Yes,No,Yes,"www.cityoflancasterca.org; 44933 Fern Avenue, Lancaster, CA 93534"
2023120563,"Lancaster, City of",City of Lancaster,,Tentative Tract Map No. 83497,MND,12/20/2023,,"The proposed project consists of the subdivision of approximately 30 gross acres into 163 single family residential lots in the Mixed Use – Neighborhood (MU-N) zone. The lots within the subdivision would range in size from 4,785 square feet to 14,234 square feet. Two drainage basins would be included as part of the proposed project. Access to the subdivision would be from Avenue I and the streets within the subdivision would be private. A block wall would surround the subdivision and a meandering sidewalk with landscaping would be provided along Avenue I. ",https://ceqanet.opr.ca.gov/2023120563,Tentative Tract Map No. 83497,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Los Angeles,Los Angeles,,"Avenue I, 42nd Street West, 40th Street West",93536,30,"3105-018-014, -044, -045, -046",14,Amargosa Creek ,General William J. Fox Airfield,No,12/20/2023,1/19/2024,Residential,"Land Division (Subdivision, etc.)","Aesthetics, Air Quality, Biological Resources, Cultural Resources, Geology/Soils, Greenhouse Gas Emissions, Hazards & Hazardous Materials, Hydrology/Water Quality, Mandatory Findings of Significance, Noise, Transportation, Vegetation",12/20/2023,1/19/2024,,,,,,,,,,,,,,,
2023120512,"Lancaster, City of",City of Lancaster,,Tentative Tract Map No. 63137,MND,12/19/2023,,"The proposed project consists of a subdivision of approximately 20 acres into 53 single-family lots. The lots range in size from 10,000 square feet to 14,638 square feet. Access into the subdivision would be provided from Nugent Street. All the streets within the development would be private. 
",https://ceqanet.opr.ca.gov/2023120512,Tentative Tract Map No. 63137,Mitzi Alvarado,City of Lancaster,Planner,malvarado@cityoflancasterca.gov,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,,"40th Street East, Avenue J",93535,20,"3150-029-025, 3150-029-026",N/A,N/A,N/A,Yes,12/19/2023,1/18/2024,Residential,"Land Division (Subdivision, etc.)","Aesthetics, Air Quality, Biological Resources, Cultural Resources, Flood Plain/Flooding, Geology/Soils, Greenhouse Gas Emissions, Hydrology/Water Quality, Mandatory Findings of Significance, Noise, Transportation, Utilities/Service Systems, Vegetation",12/19/2023,1/18/2024,,,,,,,,,,,,,,,
2023120520,"Lancaster, City of",City of Lancaster,,Tentative Tract Map No. 72739,MND,12/19/2023,,"The proposed project consists of the subdivision of approximately 20 gross acres into 73 single family residential lots. The lots within the subdivision would range in size from 7,200 square feet to 13,605 square feet. Access to the subdivision would be from Avenue K and 65th Street West and the streets within the subdivision would be private. A block wall would surround the subdivision with sidewalks and landscaping along Avenue K and 65th Street West. ",https://ceqanet.opr.ca.gov/2023120520,Tentative Tract Map No. 72739,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,,"Avenue K, 65th Street West",93536,20,3203-018-110,N/A,N/A,N/A,No,12/19/2023,1/18/2024,Residential,"Land Division (Subdivision, etc.)","Aesthetics, Air Quality, Biological Resources, Cultural Resources, Geology/Soils, Hazards & Hazardous Materials, Hydrology/Water Quality, Noise, Transportation, Utilities/Service Systems, Vegetation",12/19/2023,1/18/2024,,,,,,,,,,,,,,,
2021090068,"Lancaster, City of",City of Lancaster,,"Sweet Home Antelope Valley, Where the Skies are so Blue",NOD,12/14/2023,12/14/2023,The project is located on ±43 gross acres at the southeastern corner of 6th Street West and Avenue L-8. The project includes a 5.72-megawatt direct current/4.38 megawatt alternating current solar facility with battery storage. This facility would be used by both the Antelope Valley Transit Authority and the Antelope Valley School Transportation Agency to charge their zero-emission vehicle fleets. The project also includes the addition of zero-emission microtransit buses and school buses.,https://ceqanet.opr.ca.gov/2021090068/4,Site Plan Review No. 21-07,Cherry Zamora,California Transportation Commission,Assistant Deputy Director,cherry.zamora@catc.ca.gov,1120 N St,,Sacramento,CA,95814,9166544245,,Lancaster,Los Angeles,Los Angeles,,,,,,,,,,,,,,,,,,,California Transportation Commission,No,12/7/2023,No,No,Yes,,Yes,Yes,No,Yes,"Lancaster City Hall, Planning Department, 44933 North Fern Avenue, Lancaster, California."
2023120026,"Lancaster, City of",City of Lancaster,,Site Plan Review No. 22-015,MND,12/1/2023,,"The proposed project consists of the construction and operation of an RV and mini-storage facility in the Light Industrial (LI) zone. The facility would consist of two buildings totaling 90,563 square feet which would provide 67 indoor RV storage units and 246 mini-storage units. Additionally, 220 outdoor RV storage/parking spaces would be provided in the central portion of the project site. In addition, a wash rack and dump station for the RVs would be located on site. At the northern end of the site would be a retention basin to control drainage and runoff. The site would be fenced and access to the development would be provided from a driveway along Avenue H. ",https://ceqanet.opr.ca.gov/2023120026,Site Plan Review No. 22-015,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,,"Avenue H, 18th Street West",93534,10,3118-006-024,14,Amargosa Creek ,N/A,No,12/1/2023,1/3/2024,Commercial,Site Plan,"Aesthetics, Air Quality, Biological Resources, Cultural Resources, Cumulative Effects, Flood Plain/Flooding, Geology/Soils, Greenhouse Gas Emissions, Hydrology/Water Quality, Mandatory Findings of Significance, Noise, Transportation, Utilities/Service Systems, Vegetation, Wetland/Riparian",12/1/2023,1/3/2024,,,,,,,,,,,,,,,
2023110617,"Lancaster, City of",City of Lancaster,,Site Plan Review No. 22-006,MND,11/22/2023,,"The proposed project consists of the construction and operation of a 23,200 square foot industrial facility for the production and storage of stone building materials. The facility would consist of 2,000 square feet of office space, 15,000 square feet of warehouse space, 3,750 square feet of manufacturing space, and an approximately 800 square foot silo for concrete/stone dust. A total of 20 vehicle parking spaces would be provided adjacent to the office portion of the development with truck parking provided in the central portion of the site. A drainage basin would be located in the northeastern portion of the project site.
	The site would be fenced with two access gates and a third access point at the northeastern boundary of the site if needed. A meandering sidewalk with landscaping would be provided along Avenue H.
",https://ceqanet.opr.ca.gov/2023110617,Site Plan Review No. 22-006,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,,"Avenue H, Antelope Valley Freeway, 25th Street West",93536,4.4,3114-012-020,14,Amargosa Creek ,General William J. Fox Airfield,Yes,11/22/2023,12/22/2023,Industrial,Site Plan,"Air Quality, Biological Resources, Cultural Resources, Cumulative Effects, Flood Plain/Flooding, Geology/Soils, Greenhouse Gas Emissions, Hazards & Hazardous Materials, Hydrology/Water Quality, Land Use/Planning, Mandatory Findings of Significance, Noise, Transportation, Vegetation, Wetland/Riparian",11/22/2023,12/22/2023,,,,,,,,,,,,,,,
2023110213,"Lancaster, City of",City of Lancaster,,"TPM No. 84233, CUP No. 23-014, SPR No. 23-010 (Desert Meadows Apartments and Town Home)",MND,11/8/2023,,"The applicant (Guardian Capital) proposes to subdivide a vacant, 20-acre lot, into two residential lots. One lot will be for a 324-unit apartment complex and the other residential lot for a 96-unit townhome community. The project also includes recreational amenities associated with the apartment complex including a clubhouse, fitness area, pool, putting green, hard court (i.e., pickleball), table tennis, and two dog parks. Recreation amenities provided with the townhomes include a pool and spa, sports lawn, putting green, and children’s playground.    ",https://ceqanet.opr.ca.gov/2023110213,"TPM No. 84233, CUP No. 23-014, SPR No. 23-010 (Desert Meadows Apartments and Town Home)",Shannon Edwin,City of Lancaster,Planner,sedwin@cityoflancasterca.gov,44933 Fern Avenue,,Lancaster,CA,93534,6617236048,,Lancaster,Los Angeles,,30th Street West and Lancaster Boulevard,93536,20,3153-034-087,14,,N/A,Yes,11/8/2023,12/8/2023,Residential,"Land Division (Subdivision, etc.), Site Plan, Use Permit","Air Quality, Biological Resources, Cultural Resources, Cumulative Effects, Geology/Soils, Greenhouse Gas Emissions, Land Use/Planning, Mandatory Findings of Significance, Noise, Public Services, Utilities/Service Systems",11/8/2023,12/8/2023,,,,,,,,,,,,,,,
2023110234,"Lancaster, City of",City of Lancaster,,Tentative Tract Map No. 66680,MND,11/8/2023,,"The applicant proposes to subdivide approximately 72 acres into 219 lots: 215 single family residential lots and 4 lots for drainage basins in the R-7,000 (single family residential, minimum lot size 7,000 square feet), R-10,000 (single family residential, minimum lot size 10,000 square feet), and R-15,000 (single family residential, minimum lot size 15,000 square feet) zones. Lots within the subdivision would range in size from 7,008 square feet to 17,239 square feet. Access to the subdivision would be from Avenue K-8 and 55th Street West. The parcels are currently undeveloped.",https://ceqanet.opr.ca.gov/2023110234,Tentative Tract Map No. 66680,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,,"60th Street West, Avenue K-8, Avenue L",93536,72,"3204-006-025, 026, 027, 031, 032, 033, 067, 071, 075, 081, 085, 086, 088",N/A,N/A,N/A,Yes,11/8/2023,12/8/2023,Residential,"Land Division (Subdivision, etc.)","Aesthetics, Air Quality, Biological Resources, Cultural Resources, Geology/Soils, Greenhouse Gas Emissions, Hazards & Hazardous Materials, Hydrology/Water Quality, Mandatory Findings of Significance, Noise, Sewer Capacity, Transportation, Vegetation",11/8/2023,12/8/2023,,,,,,,,,,,,,,,
2023060708,"Lancaster, City of",City of Lancaster,,Site Plan Review No. 23-004,NOD,10/19/2023,10/19/2023,"The proposed project consists of the construction and operation of a 647,756 square foot industrial/distribution warehouse on approximately 38 acres at the northeast corner of 45th Street West and Avenue G (see Figure 2). The proposed building would be centrally located within the project site, tilt-up concrete construction and approximately 50 feet in height. Most of the building would be utilized for storage and distribution purposes; however, up to 40,000 square feet of the proposed building would be utilized for office space. No cold or frozen storage would occur at this facility.

Loading docks and trailer parking spaces would located on the north and south sides of the building. Employee and visitor parking would be located on the eastern and western sides of the building. A total of 94 loading dock spaces would be provided, evenly split between the two sides of the building; 48 loading docks would be installed with an additional 46 loading dock punch-outs available. 148 trailer parking spaces would be provided located near the loading dock areas. A total of 447 parking spaces would be provided for employees and visitors to the site. including 14 ADA spaces and 89 EV charging spaces along with 44 spaces for bicycle parking. Access to the project site would be from one driveway on Avenue G at the southeast corner of the project site and two driveways located along 45th Street West.

In addition to the building and parking on the site, landscaping would be provided throughout including in the employee parking lot and around the perimeter of the site. Enhanced landscaping will be provided along Avenue G to screen the loading docks from public view. Other improvements on the project site would include drainage basins, lighting, fencing, and utility improvements. Roof-top and battery storage would be installed to the extent feasible.

Construction of the proposed project is anticipated to start in October 2023 and take approximately 12 months to complete ending in October 2024. Construction activities would occur Monday through Saturday, 7:00 a.m. to 8 p.m., with construction not occurring on Sundays and holidays. No import or export of material is anticipated during construction. The facility is anticipated to employ 242 individuals and could operate 24-hours per day.",https://ceqanet.opr.ca.gov/2023060708/2,Site Plan Review No. 23-004,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,Los Angeles,"45th Street West, Avenue G",93536,38,"3105-001-011, -012, -013, -014",N/A,N/A,General William J. Fox Airfield,,,,,,,,,,,,City of Lancaster,Yes,10/6/2023,No,No,Yes,,Yes,Yes,No,Yes,"www.cityoflancasterca.org; City of Lancaster, 44933 Fern Avenue, Lancaster, CA 93534"
2023060746,"Lancaster, City of",City of Lancaster,,Site Plan Review No. 23-003,NOD,10/19/2023,10/19/2023,"The proposed project consists of the construction and operation of a 574,039 square foot industrial/distribution warehouse with cold storage (frozen) on approximately 32 acres at the southeast corner of 47th Street West and William J Barnes Avenue (see Figure 2). The proposed building would be centrally located within the project site and shifted slightly to the west. Construction would be partially concrete-tilt up and partially insulated metal to ensure the most efficient operation of the cold storage building and approximately 50 feet in height. Most of the building would be utilized for storage and distribution purposes; however, up to 40,000 square feet of the proposed building would be utilized for office space. The storage and distribution portions of the building would be for frozen storage and kept at -10 degrees Fahrenheit.

Loading docks and trailer parking spaces would located on the north and south sides of the building. Employee and visitor parking would be located primarily on the eastern side of the building with ADA and EV charging spaces. Access to the project site would be from a driveway on 45th Street West at the southeast corner of the project site and a driveway located along on William J Barnes Avenue at the northeast corner of the project site.

In addition to the building and parking on the site, landscaping would be provided throughout including in the employee parking lot and around the perimeter of the site. Enhanced landscaping will be provided along the perimeter to screen the loading docks from public view. Other improvements on the project site would include a drainage basin along the northern portion of the property, lighting, fencing, and utility improvements. Roof-top solar and battery storage would be installed to the extent feasible.

Construction of the proposed project is anticipated to start in September 2023 and take approximately 13 months to complete ending in October 2024. Construction activities would occur Monday through Saturday, 7:00 a.m. to 8 p.m., with construction not occurring on Sundays and holidays. No import or export of material is anticipated during construction. Excavated fill material would be utilized at a nearby project. The facility is anticipated to employ 221 individuals and could operate 24-hours per day.",https://ceqanet.opr.ca.gov/2023060746/2,Site Plan Review No. 23-003,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,Los Angeles,"45th Street West, 47th Street West, William J Barnes Avenue",93536,32,3105-001-042,N/A,N/A,General William J. Fox Airfield,,,,,,,,,,,,City of Lancaster,Yes,9/25/2023,No,No,Yes,,Yes,Yes,No,Yes,"www.cityoflancasterca.org; City of Lancaster, 44933 Fern Avenue, Lancaster, CA 93534"
2023080644,"Lancaster, City of",City of Lancaster,,Tentative Tract Map No. 62478,NOD,10/18/2023,10/18/2023,"The proposed project consists of the subdivision of approximately20 gross acres into 74 single family residential lots in the R-7,000 zone (single family residential, minimum lot size 7,000 square feet.) Lots within the subdivision would range in size from 7,020 square feet to 15,023 square feet. Access to the subdivision would be from 35th Street East, Jackman Avenue, and Avenue I. These roadways would be public. The streets within the subdivision would be private. A block wall would surround the subdivision with sidewalks and publicly maintained landscaping.",https://ceqanet.opr.ca.gov/2023080644/2,Tentative Tract Map No. 62478,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,Los Angeles,"35th Street East, Avenue I",93535,20,"3150-003-001, 3150-003-002",N/A,N/A,N/A,,,,,,,,,,,,City of Lancaster,Yes,10/16/2023,No,No,Yes,,Yes,Yes,No,Yes,"www.cityoflancasterca.org and City of Lancaster, 44933 Fern Avenue, Lancaster, CA 93534"
2023100256,"Lancaster, City of",City of Lancaster,,Tentative Tract Map 69560 / Variance 23-001,MND,10/10/2023,,"The proposed project consists of the subdivision of approximately 3.5 gross acres for the construction and occupancy of 15 single-family residential lots in the R-7,000 zone. The lots range in size from 8,075 square feet to 10,026 square feet. Access to the subdivision would be provided from Avenue J-6, Avenue J-5, and 8th Street East. All of the streets within the development would be public. The applicant is also requesting a variance to reduce the required corner lot width from 75 feet to a minimum of 61 feet. ",https://ceqanet.opr.ca.gov/2023100256,Tentative Tract Map 69560 / Variance 23-001,Keri Colgrove,City of Lancaster,Senior Specialist ,kcolgrove@cityoflancasterca.gov,44933 Fern Avenue,,Lancaster,CA,93534,6617236100,,Lancaster,Los Angeles,,"Challenger Way, Avenue J-6",93535,3.5,"3140-034-034, 3140-009-003, 3140-009-006",NA,NA,NA,Yes,10/10/2023,11/9/2023,Residential,"Land Division (Subdivision, etc.)","Aesthetics, Air Quality, Biological Resources, Cumulative Effects, Flood Plain/Flooding, Geology/Soils, Land Use/Planning, Noise, Public Services, Transportation, Vegetation, Wetland/Riparian",10/10/2023,11/9/2023,,,,,,,,,,,,,,,
2023100265,"Lancaster, City of",City of Lancaster,,Tentative Tract Map 83590,MND,10/10/2023,,"The proposed project consists of a subdivision of approximately 28.5 acres into 106 single-family lots. The lots range in size from 7,000 square feet to 13,161 square feet. Access into the subdivision would be provided from 35th Street East. All of the streets within the development would be private. ",https://ceqanet.opr.ca.gov/2023100265,Tentative Tract Map 83590,Mitzi Alvarado ,City of Lancaster,Planner,malvarado@cityoflancasterca.gov,44933 Fern Avenue,,Lancaster,CA,93534,6617236100,,Lancaster,Los Angeles,,"Avenue J, 32nd Street East",93535,30,3150-028-001 and 3150-028-002,N/A,N/A,N/A,No,10/10/2023,11/9/2023,Residential,"Land Division (Subdivision, etc.)","Aesthetics, Air Quality, Biological Resources, Flood Plain/Flooding, Geology/Soils, Land Use/Planning, Noise, Public Services, Transportation",10/10/2023,11/9/2023,,,,,,,,,,,,,,,
2023100285,"Lancaster, City of",City of Lancaster,,SPR 17-03 / GPA 17-007 / ZC 17-006,MND,10/10/2023,,"The applicant proposes to construct and operate a 630,000 square foot electric school bus manufacturing facility. The facility would include 570,000 square feet of manufacturing and 60,000 square feet of office space divided between the ground floor and a mezzanine. Prep booths and paint booths would also be included as part of the manufacturing process. A total of 138 bus parking spaces would be provided on the west side of the building while employee parking would be provided along the northern and eastern portions of the project site. A total of three drainage basins would be provided along the eastern portion of the project site between the driveway and the employee parking area. Access to the project site is anticipated to be from two driveways along Avenue H.
As part of the proposed project, a general plan amendment and zone change have also been requested for the entire 160 acres although development is only proposed on 30 acres. The existing general plan designation on the subject property is currently Non-Urban Residential (NU) and zoning is RR-2.5 (single family residential, minimum lot size 2.5 acres). The applicant is requesting to change the general plan designation to LI and zoning to LI.",https://ceqanet.opr.ca.gov/2023100285,SPR 17-03 / GPA 17-007 / ZC 17-006,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,,"Avenue H, 50th St W, 55th ST W",93536,30 of 160,"3269-011-015, 3269-011-007",N/A,N/A,General William J. Fox Airfield,Yes,10/10/2023,11/9/2023,Industrial,"General Plan Amendment, Rezone, Site Plan","Aesthetics, Air Quality, Biological Resources, Cultural Resources, Geology/Soils, Greenhouse Gas Emissions, Hazards & Hazardous Materials, Mandatory Findings of Significance, Noise, Transportation, Vegetation, Wetland/Riparian",10/10/2023,11/9/2023,,,,,,,,,,,,,,,
2023100288,"Lancaster, City of",City of Lancaster,,SPR 23-009 / TTM 23-003/GPA 23-001/ ZC 23-001,MND,10/10/2023,,"The applicant (Maison’s Sierra Phase I, LP) proposes to construct and operate a 2-phase, 100% affordable, private, gated housing development. All units within the development would be rental units. Phase I consists of a 196-unit development. Each lot within the project would contain a primary residence and an accessory dwelling unit with off street parking.  Additionally, open space/recreational facilities including a pool would be provided throughout the community, an additional parking facility would be provided for the adjacent Mariposa Park, and a drainage basin would be provided at the northwest corner of the development. Access to the development would be from two driveways along Sierra Highway. Phase II would be developed after Phase I and includes up to 303 affordable units for seniors with similar amenities as Phase I.
As part of the proposed project, a tentative tract map, general plan amendment and zone change have also been requested. The tentative tract map would subdivide the subject property into the necessary number of lots to accommodate the units in Phase I and Phase II along with the open and common space lots. A total of 99 residential lots and 7 common spaces lots would be crated for Phase 1 and one large remainder lot would be created for Phase 2. The general plan designation and zoning on the subject property is currently a of residential and park zoning; the general plan amendment would change the designation across the entire site to MR1 (Multi-Residential 1) and the zoning to MDR (Moderate Density Residential).",https://ceqanet.opr.ca.gov/2023100288,SPR 23-009 / TTM 23-003/GPA 23-001/ ZC 23-001,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,,"Sierra Highway, Avenue H",93534,45,3135-001-903 through 3135-001-918,14,N/A,N/A,No,10/10/2023,11/9/2023,Residential,"General Plan Amendment, Land Division (Subdivision, etc.), Rezone, Site Plan","Aesthetics, Air Quality, Biological Resources, Cultural Resources, Geology/Soils, Greenhouse Gas Emissions, Hazards & Hazardous Materials, Hydrology/Water Quality, Noise, Population/Housing, Solid Waste, Transportation, Vegetation, Wetland/Riparian",10/10/2023,11/9/2023,,,,,,,,,,,,,,,
2023090521,"Lancaster, City of",City of Lancaster,,El Dorado Park Improvements,NOE,9/22/2023,9/22/2023,"The proposed project involves the construction of new recreational features and the enhancement of existing recreational spaces within the park. A half-court basketball court, splash pad, and skate spot will be constructed with the existing open lawns of the park. The existing playground will be expanded and the equipment replaced with types of equipment that are inclusive for people of all ages and abilities, including a swing set with eight swings. Additionally, the existing dirt path and exercise equipment at the northern end of the park will be replaced with a decomposed granite surface and 11 new workout stations along the path. ADA access will also be incorporated into the walkways and recreational amenities throughout the park.",https://ceqanet.opr.ca.gov/2023090521,El Dorado Park Improvements,Jocelyn Swain,City of Lancaster,Senior Planner,jswain@cityoflancasterca.org,44933 Fern Ave ,,Lancaster ,CA,93534,6617236100,,Lancaster,Los Angeles,Los Angeles,44501 5th Street East,93535,,,N/A,,N/A,,,,,,,,,Categorical Exemption,"Class 1, Section 15301, Existing Facilities; Class 11, Section 15311, Accessory Structures","The proposed project involves the maintenance, repair, and upgrade of an existing park facility to ensure that it continues to provide recreational opportunities to the residents of the City of Lancaster. The proposed project involves the construction of new park amenities (half court basketball court, splash pad, etc.) and the replacement/upgrade of existing equipment to ensure that all visitors to the park are able to enjoy the recreational amenities. The project site does not provide habitat for special status species, would not result in a cumulative or significant impact, and is not located along a scenic highway or on a hazardous materials site. The project site is currently developed with a park and the use would not change.",,,,,,,,,,,,
2023090262,"Lancaster, City of",City of Lancaster,,Tentative Tract Map No. 62403 and Conditional Use Permit No. 21-10,MND,9/13/2023,,"The proposed project consists of the subdivision of approximately 68.9 acres into 235 single-family residential lots and 9.96 acres of open space. The proposed project also includes a Conditional Use Permit for a Residential Planned Development that allows for smaller lot sizes for a well-planned development with residential features and amenities beyond those typical conventional development such as open space, an amenity center and pocket parks. The lots would range in size from 6,000 square feet to 14,204 square feet. Access to the subdivision would be provided from 80th Street West and Avenue L. The streets within the subdivision would be private.",https://ceqanet.opr.ca.gov/2023090262,Tentative Tract Map No. 62403 and Conditional Use Permit No. 21-10,Cynthia Campaña,City of Lancaster,Senior Planner,ccampana@cityoflancasterca.gov,44933 Fern Avenue,,Lancaster,CA,93534,6617236100,,Lancaster,Los Angeles,,80th Street West and Avenue L,93536,68.9,3204-003-046 thru  -049,N/A,N/A,N/A,No,,,Residential,"Land Division (Subdivision, etc.)","Aesthetics, Air Quality, Biological Resources, Cultural Resources, Cumulative Effects, Flood Plain/Flooding, Geology/Soils, Hazards & Hazardous Materials, Land Use/Planning, Noise, Public Services, Transportation",9/13/2023,10/13/2023,,,,,,,,,,,,,,,
